localidad,latitud,longitud,altitud,codigo_nh,provincia
ANGUIL-INTA,-36.500000000000000,-63.979999999999997,165,446,LA PAMPA
SANPEDRO-INTA,-33.680000000000000,-59.680000000000000,28,492,BUENOS AIRES
ROQUESAENZPENA-INTA,-26.870000000000001,-60.450000000000003,90,415,CHACO
RECONQUISTA-INTA,-29.250000000000000,-59.729999999999997,42,437,SANTA FE
PERGAMINO-INTA,-33.930000000000000,-60.549999999999997,65,145,BUENOS AIRES
OLIVEROS-INTA,-32.549999999999997,-60.850000000000001,26,472,SANTA FE
RAFAELA-INTA,-31.180000000000000,-61.549999999999997,100,98,SANTA FE
LASBRENAS-INTA,-27.079999999999998,-61.119999999999997,102,416,CHACO
LAMARIA-INTA,-28.230000000000000,-64.150000000000006,169,550,SANTIAGO DEL ESTERO
MARCOSJUAREZ-INTA,-32.680000000000000,-62.119999999999997,110,502,CORDOBA
HILARIOASCASUBI-INTA,-39.380000000000003,-62.619999999999997,22,421,BUENOS AIRES
GENERALVILLEGAS-INTA,-34.920000000000002,-62.729999999999997,117,38,BUENOS AIRES
FAMAILLA-INTA,-27.050000000000001,-65.420000000000002,363,444,TUCUMAN
BELLAVISTA-INTA,-28.430000000000000,-58.920000000000002,70,67,CORRIENTES
BALCARCE-INTA,-37.750000000000000,-58.299999999999997,130,400,BUENOS AIRES
BARROW-INTA,-38.320000000000000,-60.250000000000000,120,216,BUENOS AIRES
CASTELAR-INTA,-34.670000000000002,-58.649999999999999,22,358,BUENOS AIRES
COLONIABENITEZ-INTA,-27.420000000000002,-58.930000000000000,54,487,CHACO
MERCEDES-INTA,-29.170000000000002,-58.020000000000003,100,498,CORRIENTES
CHACRASDECORIA,-32.979999999999997,-68.870000000000005,902,454,MENDOZA
CIPOLETTI-SMN,-38.950000000000003,-67.969999999999999,270,163,RIO NEGRO
CURUZUCUATIA-SMN,-29.780000000000001,-57.979999999999997,61,80,CORRIENTES
DONTORCUATO-SMN,-34.479999999999997,-58.619999999999997,17,478,BUENOS AIRES
LAQUIACA-SMN,-22.100000000000001,-65.599999999999994,3442,1,JUJUY
CAPILLADELMONTE-INTA,-30.870000000000001,-64.549999999999997,972,989,CORDOBA
CERROAZUL-INTA,-27.649999999999999,-55.430000000000000,270,423,MISIONES
CONCDELURUGUAY-INTA,-32.479999999999997,-58.229999999999997,3,497,ENTRE RIOS
CONCORDIA-INTA,-31.359999999999999,-58.119999999999997,21,496,ENTRE RIOS
ELCOLORADO-INTA,-26.300000000000001,-59.369999999999997,86,464,FORMOSA
LACONSULTA-INTA,-33.729999999999997,-69.120000000000005,1050,442,MENDOZA
LASROSAS-INTA,-32.479999999999997,-61.570000000000000,98,910,SANTA FE
MANFREDI-INTA,-31.820000000000000,-63.770000000000003,294,438,CORDOBA
RAFAELA-SMN,-31.180000000000000,-61.549999999999997,90,98,SANTA FE
